# source_sha256=2a9ffd46b0e4ff3c87b3403ecb299a812653df1064246c63d78dd64d6685df80
id	original	korean
I0BK	两仪-炼妖	양의-연요
I0BL	两仪-封魔	양의-봉마
I0BM	两仪-痛觉残留	양의-통각잔류
I0BP	|cFF7DBEF1腐朽弹|r	|cFF7DBEF1부패탄|r
I0BQ	|cFF7DBEF1离子箭矢|r	|cFF7DBEF1이온 화살|r
I0BR	|cFF7DBEF1电导箭矢|r	|cFF7DBEF1전도 화살|r
I0BT	|cFF6699FF魔力压缩器|r	|cFF6699FF마력 압축기|r
I0BU	|cFFCC0000演算宝珠|r	|cFFCC0000연산보주|r
I0BV	|cFFFF99CC折纸|r|cFFFF3366浴|r|cFFFF0000火|r|cFFCC0000鸟|r	|cFFFF99CC종이접기 불사조|r
I0BW	|cFFCCFFFF破|r|cFFA3EBFF碎的|r|cFF7AD6FF无|r|cFF52C2FF铭|r	|cFFCCFFFF부서진 무명|r
I0BX	|cFFFFFF33脆|r|cFFFFBF26脆|r|cFFFF801A鲨|r	|cFFFFFF33크리스피 샤크|r
I0BY	|cFFFF99CC儿童节|r|cFFF273D9不快乐|r|cFFE64CE6礼盒|r	|cFFFF99CC어린이날|r|cFFF273D9불행한|r|cFFE64CE6선물 상자|r
I0BZ	|cFFFF99CC儿童节|r|cFFF273D9快乐|r|cFFE64CE6礼盒|r	|cFFFF99CC어린이날|r|cFFF273D9행복한|r|cFFE64CE6선물 상자|r
I0C0	|cFFFF99CC棒|r|cFFFF73B2棒|r|cFFFF4C99糖|r	|cFFFF99CC막대사탕|r
I0C1	|cFFBF9926维|r|cFF9F8020拉|r|cFF80661A之|r|cFF604C13判决|r	|cFFBF9926빌라의 판결|r
I0C2	|cFFFFCCFF天|r|cFFFFADFF人|r|cFFFF8FFF仙|r|cFFFF70FF桃|r	|cFFFFCCFF천인의 선도|r
I0C4	|cFFFF3300量子机神剑|r	|cFFFF3300양자 기신검|r
I0C5	|cFF666666卑劣者の枷锁|r	|cFF666666비열한 자의 족쇄|r
I0C6	|cFFCC0033狂|r|cFF880022魔|r|cFF440011之|r|cFFCC9966理|r	|cFFCC0033광마의 이치|r
I0C7	|cFF6600FF天翼种|r|cFF8C00D9之|r|cFFB200B2镰|r	|cFF6600FF플뤼겔의 낫|r
I0C8	|cFF9999FF《|r|cFF7A87FF夜|r|cFF5C76FF天|r|cFF3D64FF》|r	|cFF9999FF《야천》|r
I0C9	|cFFCC0000朱|r|cFFD63333红|r|cFFE06666之|r|cFFEB9999瑰|r	|cFFCC0000주홍의 장미|r
I0CA	|cFF3399FF希|r|cFF5CADF5望|r|cFF85C2EB之|r|cFFADD6E0星|r	|cFF3399FF희망의 별|r
I0CB	|cFF0033FF星之泪|r	|cFF0033FF별의 눈물|r
I0CC	|cFFFF66CC四魂之玉|r	|cFFFF66CC사혼의 구슬|r
I0CD	|cFFCC66CC被污染的四魂之玉|r	|cFFCC66CC오염된 사혼의 구슬|r
I0CE	|cFFFF99FF净化的四魂之玉|r	|cFFFF99FF정화된 사혼의 구슬|r
I0CF	|cFF826DCA梓山|r|cFF7A62C7之弓|r	|cFF826DCA아즈사산의 활|r
I0CI	|cFFFF9900延绵后世之物|r	|cFFFF9900후세로 이어지는 것|r
I0CJ	|cFFFFCC66无名戒指|r	|cFFFFCC66이름 없는 반지|r
I0CK	|cFFFFCC66雷霆长枪|r	|cFFFFCC66벼락의 장창|r
I0CL	|cFFFFCC66无上金甲|r	|cFFFFCC66무상의 황금 갑옷|r
I0CP	|cFFCC66FF弥弥切丸|r	|cFFCC66FF네네키리마루|r
I0CQ	遗物-凝神水晶	유물-정신집중 수정
I0CR	遗物-士兵的注射器	유물-병사의 주사기
I0CS	|cFF339900遗物-红蘑菇|r	|cFF339900유물-붉은 버섯|r
I0CT	遗物-战旗	유물-전투 깃발
I0CU	|cFF339900遗物-贪婪之匙|r	|cFF339900유물-탐욕의 열쇠|r
I0CV	|cFF0033CC月面-守夜灯笼|r	|cFF0033CC월면-밤을 지키는 등불|r
I0CW	|cFFFFFF66遗物-珍珠|r	|cFFFFFF66유물-진주|r
I0CX	|cFFFFFF66遗物-巨型隆起|r	|cFFFFFF66유물-거대한 융기|r
I0CY	|cFFFF9900波利斯的黄金杯|r	|cFFFF9900폴리스의 황금잔|r
I0CZ	|cFFFF9900罗塞塔石碑|r	|cFFFF9900로제타석|r
I0D0	|cFFFF9900英雄王的象征|r	|cFFFF9900영웅왕의 상징|r
I0D1	|cFFFF0000亚历|r|cFFFF4040山大|r|cFFFF8080指针|r	|cFFFF0000알렉산드리아의 바늘|r
I0D2	|cFF99CCFF裁定|r|cFFB2D9FF者的|r|cFFCCE6FF天平|r	|cFF99CCFF재정자의 천칭|r
I0D3	|cFF990000霸|r|cFFAD1F0A龙|r|cFFC23D14之|r|cFFD65C1F证|r	|cFF990000패룡의 증표|r
I0D4	|cFF3366FF镜|r|cFF668CFF棱|r|cFF99B2FF柱|r	|cFF3366FF거울 프리즘|r
I0D5	|cFF66FF99遗物-星芒结晶|r	|cFF66FF99유물-성망 결정|r
I0D6	|cFFFF3366遗物-璀璨红石|r	|cFFFF3366유물-찬란한 붉은 돌|r
I0D7	|cFF6699FF遗物-智慧源泉|r	|cFF6699FF유물-지혜의 샘|r
I0D8	|cFF6633FF遗物-暗魔石|r	|cFF6633FF유물-어둠 마석|r
I0D9	|cFFFF0000遗物-火魔石|r	|cFFFF0000유물-불 마석|r
I0DA	|cFFFFFF66遗物-雷魔石|r	|cFFFFFF66유물-번개 마석|r
I0DB	|cFF6699FF遗物-冰魔石|r	|cFF6699FF유물-얼음 마석|r
I0DC	|cFF33FF99遗物-风魔石|r	|cFF33FF99유물-바람 마석|r
I0DD	|cFFFF0066传说-激光瞄准镜|r	|cFFFF0066전설-레이저 조준경|r
I0DE	|cFFFF9900传说-冰龙之证|r	|cFFFF9900전설-빙룡의 증표|r
I0DF	|cFFFF9900传说-地龙之证|r	|cFFFF9900전설-지룡의 증표|r
I0DG	|cFFFF9900传说-火龙之证|r	|cFFFF9900전설-화룡의 증표|r
I0DH	|cFF6699FF沙漠|r|cFF6173DF之鹰-|r|cFF5C4CC0解构者|r	|cFF6699FF데저트 이글-해체자|r
I0DI	|cFF0099FF定|r|cFF14ADEB海|r|cFF29C2D6古|r|cFF3DD6C2心|r	|cFF0099FF정해고심|r
I0DK	|cFFCC66FF扭曲药剂|r	|cFFCC66FF왜곡 약제|r
I0DL	|cFF9966FF扭|r|cFF8B52E6曲|r|cFF7D3DCC精|r|cFF6F29B3粹|r	|cFF9966FF왜곡의 정수|r
I0DM	|cFFCC0000哀|r|cFFB80A29痛|r|cFFA31452之|r|cFF8F1F7A盒|r	|cFFCC0000애|r|cFFB80A29통|r|cFFA31452의|r|cFF8F1F7A상자|r
I0DN	|cFFCC0000哀|r|cFFB80A29痛|r|cFFA31452之|r|cFF8F1F7A盒|r	|cFFCC0000애|r|cFFB80A29통|r|cFFA31452의|r|cFF8F1F7A상자|r
I0DO	|cFFFFCC66猎龙头盔|r	|cFFFFCC66용 사냥꾼의 투구|r
I0DP	|cFFFFCC66猎龙铠甲|r	|cFFFFCC66용 사냥꾼의 갑옷|r
I0DQ	|cFFFFCC66猎龙臂甲|r	|cFFFFCC66용 사냥꾼의 완갑|r
I0DR	|cFFFFCC66猎龙腿甲|r	|cFFFFCC66용 사냥꾼의 각갑|r
I0DS	|cFFFFCC66雷霆长枪|r	|cFFFFCC66벼락의 장창|r
I0DT	|cFFFFCC66狮子戒指|r	|cFFFFCC66사자 반지|r
I0DU	|cFF999999铁|r|cFF737373碎|r|cFF4C4C4C牙|r	|cFF999999철쇄아|r
I0DW	|cFF6699FF星光弹|r	|cFF6699FF별빛 탄환|r
I0DX	|cFF6633FF幻|r|cFF5C3DFF想|r|cFF5247FF虚|r|cFF4752FF弹|r	|cFF6633FF환상 허탄|r
I0DZ	|cFF9E47BA涤|r|cFF9F3EA6罪|r|cFF9F3593七雷|r|cFFA21A58.鸣|r	|cFF9E47BA속죄의 칠뢰·명|r
I0E0	|cFFFF6699星|r|cFFCC5FAD光|r|cFF9957C2魔术|r|cFF6650D6师|r	|cFFFF6699별빛 마술사|r
I0E2	|cFF990000加斯尔|r|cFF999999.豺狼|r	|cFF990000카슬·자칼|r
I0E3	|cFFFF99FF魅|r|cFFFF73BF魔|r|cFFFF4C80见习生|r	|cFFFF99FF견습 서큐버스|r
I0E4	|cFFFFCC66无上金甲|r	|cFFFFCC66무상의 황금 갑옷|r
I0E5	|cFF1FBF00升级模块|r	|cFF1FBF00업그레이드 모듈|r
I0E6	|cFF1FBF00极速模块|r	|cFF1FBF00고속 모듈|r
I0E7	|cFF1FBF00弹匣模块|r	|cFF1FBF00탄창 모듈|r
I0EC	|cFF990000加斯尔.豺狼|r	|cFF990000카슬·자칼|r
I0ED	|cFFFF99FF神|r|cFFD6ADEB树|r|cFFADC2D6之|r|cFF85D6C2果|r	|cFFFF99FF신수의 열매|r
I0EE	|cFFFF9900物理|r|cFFCC6600学|r|cFF333333圣剑|r	|cFFFF9900물리학의 성검|r
I0EF	|cFFFFCC33星之奇迹|r	|cFFFFCC33별의 기적|r
I0EG	|cFFFFCC00星光的群星|r	|cFFFFCC00별빛의 군성|r
I0EH	|cFFFFCC33昆|r|cFFCCCC59仑|r|cFF99CC80镜|r	|cFFFFCC33곤륜경|r
I0EI	|cFF0066FF潮|r|cFF0066CC枯|r	|cFF0066FF조고|r
I0EJ	|cFFFFFFFF杜|r|cFFCCCCCC兰|r|cFF999999达|r|cFF666666尔|r	|cFFFFFFFF뒤랑달|r
I0EL	|cFFCC9999渡渡鸟|r	|cFFCC9999도도새|r
I0EN	|cFF009966蜥蜴比尔|r	|cFF009966도마뱀 빌|r
I0EP	|cFFCC33FF柴郡|r|cFFD933D9猫的|r|cFFE633B2戒子|r	|cFFCC33FF체셔 고양이의 반지|r
I0ER	|cFFFF99FF时钟|r	|cFFFF99FF시계|r
I0ET	|cFFCCCCCC达摩克里斯之剑|r	|cFFCCCCCC다모클레스의 검|r
I0EU	|cFF99FFFF草雉剑|r	|cFF99FFFF쿠사나기 검|r
I0EV	|cFF7DBEF1净化药剂[师匠]|r	|cFF7DBEF1정화 약제 [스승]|r
I0EW	|cFF66FF99智慧树的枝条|r	|cFF66FF99지혜의 나뭇가지|r
I0EY	|cFFCC9999狮心会徽章|r	|cFFCC9999사자심회 휘장|r
I0FM	|cFF339999死灵之书|r	|cFF339999네크로노미콘|r
I0FO	|cFFFFCC33楔丸|r	|cFFFFCC33쿠사비마루|r
I0FP	|cFFFFCC00军神|r|cFFE0A333的|r|cFFC27A66心之|r|cFFA35299所念|r	|cFFFFCC00군신의 마음에 품은 뜻|r
I0FR	|cFF99FF99龙|r|cFF66FF99刃|r	|cFF99FF99용의 칼날|r
I0FT	|cFF66FF99叶绿弹|r	|cFF66FF99녹조류 탄환|r
I0FU	|cFF99FFFF水晶弹|r	|cFF99FFFF수정탄|r
I0FV	|cFFFF3366爆裂弹|r	|cFFFF3366폭렬탄|r
I0FW	|cFFFF9900机巧弹|r	|cFFFF9900기교탄|r
I0FX	|cFFFF6699幸运药剂|r	|cFFFF6699행운 약제|r
I0FY	|cFFFF6699属性药剂|r	|cFFFF6699능력치 약제|r
I0FZ	|cFFFF6699祝福药剂|r	|cFFFF6699축복 약제|r
I0G0	|cFF6699FF厄运药剂|r	|cFF6699FF불운 약제|r
I0G1	|cFF6699FF诅咒药剂|r	|cFF6699FF저주 약제|r
I0G2	|cFF6699FF未知药剂|r	|cFF6699FF미지의 약제|r
I0G3	|cFF6699FF灾厄药剂|r	|cFF6699FF재액 약제|r
I0G4	|cFFFF6699命运药剂|r	|cFFFF6699운명 약제|r
I0G5	|cFF6699FF最|r|cFF858FEB初的|r|cFFA385D6约|r|cFFC27AC2定|r	|cFF6699FF최초의 약속|r
I0G6	|cFFFF66FF菊一|r|cFFFF99FF文字|r|cFFFFCCFF则宗|r	|cFFFF66FF키쿠이치몬지 노리무네|r
I0GA	|cFFF7DA02重力枪|r	|cFFF7DA02중력 총|r
I0GB	|cFF999999埃琉德尼尔之冠|r	|cFF999999엘류드니르의 왕관|r
I0GC	|cFF7DBEF1祖传魔导书|r	|cFF7DBEF1가문의 마도서|r
I0GD	|cFFCBB391无尽的|r|cFF832D2C格里莫伊|r	|cFFCBB391끝없는 그리모어|r
I0GE	|cFF7DBEF1祖传魔导书[活化]|r	|cFF7DBEF1가문의 마도서 [활성화]|r
I0GF	|cFF9999FF魔界之息|r	|cFF9999FF마계의 숨결|r
I0GG	|cFF990000妖刀|r|cFFB23340.赤|r|cFFCC6680染樱|r	|cFF990000요도·붉게 물든 벚꽃|r
I0GI	|cFFCC0000特殊水果酒|r	|cFFCC0000특제 과실주|r
I0GJ	|cFFFF99FF露娜酱|r|cFFF9A4FF玩偶|r|cFFF4B0FF★~!|r	|cFFFF99FF루나짱 인형★~!|r
I0GK	|cFFFF0000鲜红の|r|cFFFF401A甜甜圈|r|cFFFF8033礼盒|r	|cFFFF0000선홍빛 도넛 선물 상자|r
I0GL	|cFFDCB84E甜甜圈|r	|cFFDCB84E도넛|r
I0GM	|cFFDCB84E精美甜甜圈|r	|cFFDCB84E고급 도넛|r
I0GN	|cFFDDB087丈|r|cFFFEFCD3八|r	|cFFDDB087장팔|r
I0GO	|cFF66FF99国士无双|r	|cFF66FF99국사무쌍|r
I0GP	|cFF1FBF00雷电模块|r	|cFF1FBF00뇌전 모듈|r
I0GQ	|cFF6699FF星|r|cFF70A3FF幽|r|cFF7AADFF药|r|cFF85B8FF剂|r	|cFF6699FF성유 약제|r
I0GR	|cFFFF3333提纯的血晶|r	|cFFFF3333정제된 혈정|r
I0GS	互动	상호작용
I0GW	|cFFFF0000火灵草|r	|cFFFF0000화령초|r
I0GX	火灵草	화령초
I0GY	冰华花	빙화꽃
I0GZ	世界树之根	세계수의 뿌리
I0H0	|cFFA62F65粉|r|cFFAE3A74色|r|cFFB64683墨|r|cFFBE5193镜|r	|cFFA62F65분홍 선글라스|r
I0H1	|cFFCC0000砰|r|cFFD6330A砰|r|cFFE06614礼|r|cFFEB991F物|r	|cFFCC0000팡팡 선물|r
I0H3	|cFFB0C0D6白羽|r|cFF3C61A5扇|r	|cFFB0C0D6백우선|r
I0H6	|cFFF2B995儿|r|cFFFDEDC8童|r|cFFFEBECF节|r|cFFE5819F棒棒糖|r	|cFFF2B995어린이날 막대사탕|r
I0H8	|cFF598852粽子|r	|cFF598852쭝쯔|r
I0H9	|cFFCCFFCC粽|r|cFFB2FFBF子|r|cFF99FFB2精|r	|cFFCCFFCC쭝쯔 요정|r
I0HB	|cFFDAF2F6无|r|cFFCDEFF4影|r|cFFBFECF2剑|r	|cFFDAF2F6무영검|r
I0HC	|cFF6666CC濡湿小镰刀|r	|cFF6666CC젖은 작은 낫|r
I0HD	|cFFFF9900环印骑士直剑|r	|cFFFF9900고리의 기사의 직검|r
I0HE	|cFFCC0000高频村雨刀|r	|cFFCC0000고주파 무라사마|r
I0HF	|cFFAAFEFF光之剑.超新星|r	|cFFAAFEFF빛의 검 · 초신성|r
I0HG	|cFF990000新月玫瑰|r	|cFF990000크레센트 로즈|r
I0HH	|cFF7DBEF1物质枪|r	|cFF7DBEF1물질 총|r
I0HI	|cFFFF6699刻耳柏洛斯的爪牙|r	|cFFFF6699케르베로스의 송곳니와 발톱|r
I0HJ	|cFF7DBEF1骨头|r	|cFF7DBEF1뼈|r
I0HK	|cFF7DBEF1骨粉|r	|cFF7DBEF1뼛가루|r
I0HL	|cFF7DBEF1墓石|r	|cFF7DBEF1묘비|r
I0HM	|cFF7DBEF1石头|r	|cFF7DBEF1돌|r
I0HN	|cFF7DBEF1泥土|r	|cFF7DBEF1흙|r
I0HO	|cFF7DBEF1种子袋-火灵草|r	|cFF7DBEF1씨앗 주머니-화령초|r
I0HP	生长中的植株	자라는 식물
I0HQ	|cFF7DBEF1种子袋-冰华花|r	|cFF7DBEF1씨앗 주머니-빙화꽃|r
I0HR	|cFF7DBEF1种子袋-海晶花|r	|cFF7DBEF1씨앗 주머니-바다 결정꽃|r
I0HS	|cFF7DBEF1种子袋-世界树之根|r	|cFF7DBEF1씨앗 주머니-세계수의 뿌리|r
I0HT	|cFF7DBEF1种子袋-紫阳花|r	|cFF7DBEF1씨앗 주머니-수국|r
I0HU	|cFFFFCC00圣域石|r	|cFFFFCC00성역석|r
I0HV	|cFFFFCC33神|r|cFFFFD65C明|r|cFFFFE085羽|r|cFFFFEBAD骸|r	|cFFFFCC33신명의 깃털 잔해|r
I0HW	|cFF7DBEF1洛阳稿|r	|cFF7DBEF1낙양고|r
I0HX	|cFF6699FF剑意石|r	|cFF6699FF검의석|r
I0HY	|cFF7DBEF1工业废水|r	|cFF7DBEF1산업 폐수|r
I0HZ	|cFF7DBEF1机械零件|r	|cFF7DBEF1기계 부품|r
I0I0	|cFF7DBEF1砖石|r	|cFF7DBEF1석재|r
I0I1	|cFF7DBEF1水|r	|cFF7DBEF1물|r
I0I2	|cFF7DBEF1木材|r	|cFF7DBEF1목재|r
I0I3	|cFF66FF99欧格罗斯的邀请函|r	|cFF66FF99오그로스의 초대장|r
I0I4	|cFFCC0000布兰兹的邀请函|r	|cFFCC0000브란츠의 초대장|r
I0I5	|cFF6699FF维波的邀请函|r	|cFF6699FF비보의 초대장|r
I0I6	|cFFCC9900斯狄尔的邀请函|r	|cFFCC9900스티르의 초대장|r
I0I7	|cFF7DBEF1书|r	|cFF7DBEF1책|r
I0I8	|cFF6699FF极寒之壳|r	|cFF6699FF극한의 껍질|r
I0I9	|cFF66FF99生命之石|r	|cFF66FF99생명의 돌|r
I0IA	|cFFCC0000炎魔核心|r	|cFFCC0000염마의 핵|r
I0IB	|cFFFF9900碎片源石|r	|cFFFF9900오리지늄 파편|r
I0IC	|cFFFF9900至纯源石|r	|cFFFF9900순오리지늄|r
I0ID	|cFFFF9900矿石病抑制剂|r	|cFFFF9900광석병 억제제|r
I0IE	|cFFFF9900源石神经剂|r	|cFFFF9900오리지늄 신경제|r
I0IF	|cFF1F845B阿戈尔之赞|r	|cFF1F845B에기르의 찬가|r
I0IG	|cFF6699FF能源矿石|r	|cFF6699FF에너지 광석|r
I0IH	|cFF99FFFF幻海之心|r	|cFF99FFFF환해의 심장|r
I0II	幻海花	환해꽃
I0IJ	|cFF6699FF海之贝壳|r	|cFF6699FF바다 조개껍데기|r
I0IK	|cFF447C9C腐化之心|r	|cFF447C9C타락한 심장|r
I0IL	|cFFFF7C2B团扇|r	|cFFFF7C2B둥근 부채|r
I0IM	|cFF7DBEF1图纸|r	|cFF7DBEF1설계도|r
I0IN	|cFF7DBEF1种子袋-幻海花|r	|cFF7DBEF1씨앗 주머니-환해꽃|r
I0IO	|cFFE2E5C1假面|r	|cFFE2E5C1가면|r
I0IP	|cFFFFFFFF人|r|cFF333333格|r|cFFCC0000面|r|cFFFF9999具|r	|cFFFFFFFF페르소나|r
I0IR	|cFF666666破碎斩龙|r	|cFF666666부서진 드래곤 슬레이어|r
I0IS	|cFFCCFFFF霜星|r|cFFA6D9FF的源石|r|cFF80B2FF冰晶|r	|cFFCCFFFF프로스트노바의 오리지늄 얼음 결정|r
I0IT	|cFF9F3032龙门石|r	|cFF9F3032용문석|r
I0IV	|cFF9999FF星辰齿轮|r	|cFF9999FF별의 톱니바퀴|r
I0IW	|cFF6D7CCD星|r|cFF6178D7辰|r|cFF5673E1短|r|cFF4A6FEB剑|r	|cFF6D7CCD별의 단검|r
I0IX	|cFFFFF08B开腔器|r	|cFFFFF08B흉부 개방기|r
I0IY	|cFFFFF08B螺丝起子|r	|cFFFFF08B드라이버|r
I0J2	|cFF1FBF00以太结晶药剂|r	|cFF1FBF00에테르 결정 약제|r
I0J3	|cFF6699FF魔弹|r	|cFF6699FF마탄|r
I0J4	无子弹	탄환 없음
I0J5	|cFFFFFFCC残缺的光之种|r	|cFFFFFFCC불완전한 빛의 씨앗|r
I0J6	|cFF93BBC8至|r|cFFA9C9D3理|r|cFFBED6DE之|r|cFFD4E4E9书|r	|cFF93BBC8지극한 이치의 책|r
I0J9	|cFF6699CC启示药剂|r	|cFF6699CC계시 약제|r
I0JA	|cFF66FF99灭|r|cFF85FFAD诤|r|cFFA3FFC2草|r|cFFC2FFD6蔓|r	|cFF66FF99분쟁을 멸하는 덩굴|r
I0JB	|cFF66FF99散失|r|cFF92FFB6的|r|cFFA8FFC5草|r|cFFBDFFD3神瞳|r	|cFF66FF99잃어버린 풀의 신의 눈동자|r
I0JC	|cFF66FF99初|r|cFF85FFAD生|r|cFFA3FFC2白|r|cFFC2FFD6枝|r	|cFF66FF99새싹의 흰 가지|r
I0JD	|cFF66FF99迷|r|cFF80FFAA宫|r|cFF99FFBB的|r|cFFB2FFCC游人|r	|cFF66FF99미궁의 여행자|r
I0JE	|cFF66FF99翠|r|cFF80FFAA蔓|r|cFF99FFBB的|r|cFFB2FFCC智者|r	|cFF66FF99푸른 덩굴의 지혜|r
I0JF	|cFF66FF99贤|r|cFF80FFAA智|r|cFF99FFBB的|r|cFFB2FFCC定期|r	|cFF66FF99깨달음의 주기|r
I0JG	|cFF66FF99迷|r|cFF80FFAA雾|r|cFF99FFBB者|r|cFFB2FFCC之灯|r	|cFF66FF99안개를 가르는 등불|r
I0JH	|cFF66FF99月|r|cFF80FFAA桂|r|cFF99FFBB的|r|cFFB2FFCC宝冠|r	|cFF66FF99월계수 왕관|r
I0JI	|cFF66FF99千|r|cFF85FFAD叶|r|cFFA3FFC2浮|r|cFFC2FFD6梦|r	|cFF66FF99떠오르는 천일 밤의 꿈|r
I0JJ	|cFFC50F0F青|r|cFFA81616色|r|cFF8A1D1D怒|r|cFF6D2424火|r	|cFFC50F0F푸른 서슬|r
I0JK	|cFFFF99FF妖精|cFFF5ADFF小姐|cFFEBC2FF的礼盒	|cFFFF99FF요정 아가씨의 선물상자
I0JL	|cFFFFFF99月饼|r	|cFFFFFF99월병|r
I0JM	|cFFFF99FF无|r|cFFEB8FFF暇|r|cFFD685FF之|r|cFFC27AFF钥|r	|cFFFF99FF무결한 열쇠|r
I0JP	|cFFFFCC66宠爱戒指|r	|cFFFFCC66총애의 반지|r
I0JQ	|cFFFF99FF日常|cFFF5ADFF的|cFFEBC2FF馈赠	|cFFFF99FF일상의 선물
I0JR	|cFF6699FF视|r|cFF708FF5界|r|cFF7A85EB探|r|cFF857AE0针|r	|cFF6699FF시야 탐침|r
I0JS	|cFF6699FF纯|r|cFF7AADFF白の|r|cFF8FC2FF花|r|cFFA3D6FF朵	|cFF6699FF새하얀 꽃
I0JT	|cFF949596死|r|cFF9FAAAB神|r|cFFAABFC0镰|r|cFFB6D5D5刀	|cFF949596사신의 낫
I0JU	|cFF6699FF巨魔|r|cFF8CA6CC贝恩|r|cFFB2B299.天|r	|cFF6699FF트롤 베인·천|r
I0JV	|cFFFFCC33邀|r|cFFFCCD4C请|r|cFFFACE66函|r	|cFFFFCC33초대장|r
I0JX	|cFFF3C319糖|r|cFFCB9E18果|r|cFFA37817篮|r	|cFFF3C319사탕 바구니|r
I0JY	|cFFFF99FF神|r|cFFFFB2E6乐|r|cFFFFCCCC铃|r	|cFFFF99FF카구라 방울|r
I0JZ	|cFFFF99FF放了|r|cFFFCA0FB糖的|r|cFFF1B6F1料|r|cFFEEBDED理|r	|cFFFF99FF설탕을 넣은 요리|r
I0K0	|cFFD5FDFF铁碎牙的刀鞘|r	|cFFD5FDFF철쇄아의 칼집|r
I0K1	|cFFFFFF33Episode夺走的左腿|r	|cFFFFFF33에피소드가 빼앗은 왼쪽 다리|r
I0K2	|cFFFFFF33Dramaturgy夺走的右腿|r	|cFFFFFF33드라마투르기가 빼앗은 오른쪽 다리|r
I0K3	|cFFFFFF33Cutter夺走的双臂|r	|cFFFFFF33길로틴 커터가 빼앗은 양팔|r
I0K4	|cFF3399FF闪烁匕首|r	|cFF3399FF점멸 단검|r
I0K5	|cFFEEBDA1精灵之泉|r	|cFFEEBDA1정령의 샘|r
I0K6	|cFFFFCC00迈达斯之手|r	|cFFFFCC00미다스의 손|r
I0K7	|cFFCCCCCC卡|r|cFFA3A3A3兹戴|r|cFF7A7A7A尔纹章|r	|cFFCCCCCC카즈델 문장|r
I0K8	|cFFCCCCCC魔|r|cFFA3A3A3王|r|cFF7A7A7A之|r|cFF525252触|r	|cFFCCCCCC마왕의 손길|r
I0KA	|cFFFE8F98圣|r|cFFFE9B8E诞|r|cFFFEA784礼|r|cFFFFB47A盒|r	|cFFFE8F98크리스마스 선물상자|r
I0KB	|cFF6699FF魔力药水|r	|cFF6699FF마력 물약|r
I0KC	|cFFFFFF66破碎|r|cFFEEAA44の|r|cFFE68033刀|r|cFFDD5522刃|r	|cFFFFFF66부서진 칼날|r
I0KD	|cFFFFFF66妖|r|cFFF5CC52刀|r|cFFEB993D心|r|cFFE06629渡|r	|cFFFFFF66요도 코코로와타리|r
I0KE	|cFFFFFF66扭曲|r|cFFEEAA44の|r|cFFE68033刀|r|cFFDD5522刃|r	|cFFFFFF66뒤틀린 칼날|r
I0KF	|cFFEB4747「红城の律令」|r	|cFFEB4747「붉은 성의 율령」|r
I0KG	|cFF5773FF神|r|cFF7970FF明|r|cFF9A6EFF特|r|cFFBC6BFF典|r	|cFF5773FF신의 특전|r
I0KH	|cFF33CC33神|r|cFF33D647秘|r|cFF33E05C小|r|cFF33EB70瓶|r	|cFF33CC33신비한 작은 병|r
I0KI	|cFF3366FF魔|r|cFF2952CC神|r|cFF1F3D99人|r|cFF142966形|r	|cFF3366FF마신 인형|r
I0KJ	|cFFCC0000灾|r|cFF880000祸|r	|cFFCC0000재화|r
I0KK	|cFFE8443D长|r|cFFEE736E虹|r|cFFF4A29E剑|r	|cFFE8443D장홍검|r
I0KL	|cFF990000薄|r|cFF660000暝|r	|cFF990000박명|r
I0KO	|cFFCC0000狂|r|cFFAD0A0A战|r|cFF8F1414士|r|cFF701F1F之铠|r	|cFFCC0000광전사의 갑주|r
I0KP	|cFFCCCCCC奴隶头巾|r	|cFFCCCCCC노예 두건|r
I0KR	|cFF4CAAF9梦|r|cFF70BBFA境|r|cFF94CCFB之|r|cFFB7DDFD心|r	|cFF4CAAF9몽경의 심장|r
I0KS	|cFFCC0000破|r|cFFD61F00碎|r|cFFE03D00的|r|cFFEB5C00梦|r	|cFFCC0000부서진 꿈|r
I0KT	|cFFFFCC00贯穿|r|cFFFF9900梦想|r|cFFFF6600之枪|r	|cFFFFCC00꿈을 꿰뚫는 창|r
I0KU	|cFF6699FF宁|r|cFF7AA3F5静|r|cFF8FADEB王|r|cFFA3B8E0冠|r	|cFF6699FF고요한 왕관|r
I0KV	|cFFFF6699普利凯特的戒指|r	|cFFFF6699프리켓의 반지|r
I0KW	|cFF5E3800死灵诅咒|r	|cFF5E3800사령의 저주|r
I0KX	|cFF9966CC铃铛诅咒|r	|cFF9966CC방울의 저주|r
I0KY	|cFFFF99CC儿童节|r|cFFE64CE6礼盒|r	|cFFFF99CC어린이날 선물상자|r
I0L1	|cFFFCE5BB儿童节雪糕|r	|cFFFCE5BB어린이날 아이스크림|r
I0L3	|cFFF0D987灵|r|cFFF3C884鸽|r|cFFF6B781小|r|cFFF8A67E七|r	|cFFF0D987영혼 비둘기 샤오치|r
I0L4	|cFFE54354罪|r|cFFB13844之|r|cFF7C2C34镰|r	|cFFE54354죄의 낫|r
I0L5	|cFF8FB394头环|r	|cFF8FB394머리 고리|r
I0L6	|cFF99CCCC“|r|cFF99B8C2故|r|cFF99A3B8乡|r|cFF998FAD”|r	|cFF99CCCC“고향”|r
